timestamp,temperature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON
2024-01-01 23:51:00,16,68,98,178,186,157,1,0,1,0,1,0
2024-01-01 23:56:00,17,69,89,178,186,157,1,0,1,0,1,0
2024-01-02 00:01:00,18,68,78,178,186,157,1,0,1,0,1,0
2024-01-02 00:06:00,19,68,94,178,186,157,1,0,1,0,1,0
2024-01-02 00:11:00,20,70,84,178,186,157,1,0,1,0,1,0
2024-01-02 00:16:00,22,70,91,178,186,157,1,0,1,0,1,0
2024-01-02 00:21:00,23,69,100,178,186,157,0,1,1,0,1,0
2024-01-02 00:26:00,23,69,84,178,186,157,0,1,1,0,1,0
2024-01-02 00:31:00,22,70,76,178,186,157,1,0,1,0,1,0
2024-01-02 00:36:00,22,70,97,178,186,157,1,0,1,0,1,0
2024-01-02 00:41:00,22,68,79,178,186,157,1,0,1,0,1,0
2024-01-02 00:46:00,22,68,90,178,186,157,1,0,1,0,1,0
2024-01-02 00:51:00,21,70,87,178,186,157,1,0,1,0,1,0
2024-01-02 00:56:00,21,71,75,178,186,157,1,0,1,0,1,0
2024-01-02 01:01:00,20,69,81,178,186,157,1,0,1,0,1,0
2024-01-02 01:06:00,20,68,98,178,186,157,1,0,1,0,1,0
2024-01-02 01:11:00,20,71,100,178,186,157,1,0,1,0,1,0
2024-01-02 01:16:00,21,69,95,178,186,157,1,0,1,0,1,0
2024-01-02 01:21:00,21,69,98,178,186,157,1,0,1,0,1,0
2024-01-02 01:26:00,22,69,88,178,186,157,1,0,1,0,1,0
2024-01-02 01:31:00,22,68,92,178,186,157,1,0,1,0,1,0
2024-01-02 01:36:00,23,71,88,178,186,157,0,1,1,0,1,0
2024-01-02 01:41:00,25,69,89,178,186,157,0,1,1,0,1,0
2024-01-02 01:46:00,28,70,83,178,186,157,0,1,1,0,1,0
2024-01-02 01:51:00,29,70,92,178,186,157,0,1,1,0,1,0
2024-01-02 01:56:00,29,71,78,178,186,157,0,1,1,0,1,0
2024-01-02 02:01:00,27,69,86,178,186,157,0,1,1,0,1,0
2024-01-02 02:06:00,25,69,89,178,186,157,0,1,1,0,1,0
2024-01-02 02:11:00,24,71,97,178,186,157,0,1,1,0,1,0
2024-01-02 02:16:00,22,70,89,178,186,157,1,0,1,0,1,0
2024-01-02 02:21:00,22,72,99,178,186,157,1,0,1,0,1,0
2024-01-02 02:26:00,22,68,80,178,186,157,1,0,1,0,1,0
2024-01-02 02:31:00,22,71,81,178,186,157,1,0,1,0,1,0
2024-01-02 02:36:00,23,69,75,178,186,157,0,1,1,0,1,0
2024-01-02 02:41:00,22,70,92,178,186,157,1,0,1,0,1,0
2024-01-02 02:46:00,23,69,79,178,186,157,0,1,1,0,1,0
2024-01-02 02:51:00,23,71,72,178,186,157,0,1,1,0,1,0
2024-01-02 02:56:00,24,72,83,178,186,157,0,1,1,0,1,0
2024-01-02 03:01:00,25,70,94,178,186,157,0,1,1,0,1,0
2024-01-02 03:06:00,25,70,87,178,186,157,0,1,1,0,1,0
2024-01-02 03:11:00,24,70,88,178,186,157,0,1,1,0,1,0
2024-01-02 03:16:00,24,70,79,178,186,157,0,1,1,0,1,0
2024-01-02 03:26:00,26,71,96,178,186,157,0,1,1,0,1,0
2024-01-02 03:31:00,26,70,78,178,186,157,0,1,1,0,1,0
2024-01-02 03:36:00,26,70,92,178,186,157,0,1,1,0,1,0
2024-01-02 03:41:00,25,71,81,178,186,157,0,1,1,0,1,0
2024-01-02 03:46:00,24,69,91,178,186,157,0,1,1,0,1,0
2024-01-02 03:51:00,23,70,91,178,186,157,0,1,1,0,1,0
2024-01-02 03:56:00,22,70,88,178,186,157,1,0,1,0,1,0
2024-01-02 04:01:00,22,70,92,178,186,157,1,0,1,0,1,0
2024-01-02 04:06:00,23,70,80,178,186,157,0,1,1,0,1,0
2024-01-02 04:11:00,23,70,94,178,186,157,0,1,1,0,1,0
2024-01-02 04:16:00,24,71,83,178,186,157,0,1,1,0,1,0
2024-01-02 04:21:00,24,69,86,178,186,157,0,1,1,0,1,0
2024-01-02 04:26:00,24,71,78,178,186,157,0,1,1,0,1,0
2024-01-02 04:31:00,26,69,89,178,186,157,0,1,1,0,1,0
2024-01-02 04:36:00,26,71,98,178,186,157,0,1,1,0,1,0
2024-01-02 04:41:00,26,70,97,178,186,157,0,1,1,0,1,0
2024-01-02 04:46:00,25,70,91,178,186,157,0,1,1,0,1,0
2024-01-02 04:51:00,25,71,94,178,186,157,0,1,1,0,1,0
2024-01-02 04:56:00,24,69,94,178,186,157,0,1,1,0,1,0
2024-01-02 05:01:00,22,69,99,178,186,157,1,0,1,0,1,0
2024-01-02 05:06:00,23,70,89,178,186,157,0,1,1,0,1,0
2024-01-02 05:11:00,23,69,93,178,186,157,0,1,1,0,1,0
